timestamps,TP9,AF7,AF8,TP10,Right AUX
1735523376.610,40.527,12.207,22.461,50.781,106.445
1735523376.614,6.836,-2.930,18.555,-45.410,-134.766
1735523376.618,17.578,2.441,17.578,1.953,-91.309
1735523376.622,39.062,21.973,18.066,104.004,164.062
1735523376.625,27.344,19.531,21.484,76.172,199.219
1735523376.629,11.230,5.859,31.250,-22.949,-49.316
1735523376.633,14.160,9.277,27.344,-12.695,-103.516
1735523376.637,18.066,18.066,14.648,68.848,79.590
1735523376.641,29.297,15.625,19.043,91.797,193.848
1735523376.645,2.930,9.277,28.809,-17.090,-0.488
1735523376.649,-12.695,2.930,22.949,-44.922,-138.184
1735523376.653,13.184,1.465,17.578,43.457,-0.488
1735523376.657,41.504,4.395,21.973,114.746,200.684
1735523376.661,20.996,3.906,24.414,20.996,68.359
1735523376.665,2.441,-1.465,22.949,-42.480,-111.816
1735523376.668,20.020,-4.883,21.484,23.438,-61.523
1735523376.672,51.758,3.418,21.973,113.281,172.363
1735523376.676,45.410,16.602,26.855,63.477,120.605
1735523376.680,16.113,11.719,25.879,-26.855,-113.770
1735523376.684,9.766,8.789,23.926,6.348,-68.848
1735523376.688,33.203,18.066,23.926,107.422,129.883
1735523376.692,32.715,16.113,22.949,87.891,163.086
1735523376.696,5.371,11.230,22.949,-23.926,-49.316
1735523376.700,4.395,10.742,17.578,-20.996,-91.309
1735523376.704,31.250,4.883,16.113,75.195,83.008
1735523376.708,45.898,1.465,18.555,103.027,179.199
1735523376.711,20.508,4.395,16.113,-14.160,-8.301
1735523376.715,11.230,10.742,14.160,-48.828,-125.000
1735523376.719,30.273,17.578,12.695,29.297,20.508
1735523376.723,55.664,20.020,13.672,103.516,197.266
1735523376.727,29.785,17.090,22.461,18.555,62.012
1735523376.731,2.441,13.672,26.367,-49.316,-111.816
1735523376.735,13.672,9.277,22.461,11.230,-51.758
1735523376.739,40.039,7.324,19.043,106.445,179.688
1735523376.743,28.320,11.230,20.508,58.594,148.438
1735523376.747,1.465,10.254,25.391,-42.480,-80.566
1735523376.750,15.625,9.766,26.367,-9.766,-71.777
1735523376.754,47.363,3.906,25.391,90.332,139.648
1735523376.758,48.828,5.371,26.367,91.309,204.102
1735523376.762,29.785,17.578,30.273,-20.020,-57.129
1735523376.766,25.879,16.113,35.156,-33.203,-142.578
1735523376.770,53.711,7.812,30.762,64.453,44.434
1735523376.774,63.965,7.812,25.391,108.887,190.918
1735523376.778,23.438,11.230,26.367,7.324,7.812
1735523376.782,9.766,11.230,25.391,-39.062,-130.859
1735523376.786,19.531,3.418,23.926,33.203,0.000
1735523376.790,43.945,0.000,26.367,114.746,217.773
1735523376.793,29.297,10.254,26.855,29.297,103.027
1735523376.797,8.789,15.137,27.344,-46.875,-133.301
1735523376.801,20.020,8.301,32.227,0.977,-103.027
1735523376.805,45.410,9.277,30.762,89.844,125.977
1735523376.809,31.738,15.137,23.438,56.641,142.578
1735523376.813,1.465,10.254,19.531,-43.945,-69.824
1735523376.817,10.254,9.766,21.484,-19.043,-90.820
1735523376.821,33.691,13.672,24.902,78.125,113.770
1735523376.825,42.480,13.672,25.391,86.426,192.871
1735523376.829,19.043,9.766,28.809,-21.973,-25.879
1735523376.832,3.418,7.324,29.297,-41.504,-110.840
1735523376.836,20.020,11.230,32.715,47.363,43.945
1735523376.840,39.062,10.742,34.668,98.145,219.727
1735523376.844,17.090,7.324,27.832,-4.883,42.480
1735523376.848,0.000,6.836,24.414,-52.734,-136.230
1735523376.852,18.555,13.672,21.973,21.484,-8.301
1735523376.856,50.781,17.090,20.996,108.887,181.152
1735523376.860,36.133,16.602,22.461,36.133,80.078
1735523376.864,9.766,13.672,24.902,-53.711,-79.102
1735523376.868,13.184,9.766,25.391,-10.742,-59.570
1735523376.872,40.527,5.371,22.461,88.867,129.883
1735523376.875,47.363,10.742,22.461,70.801,179.688
1735523376.879,14.648,17.090,26.367,-35.645,-16.602
1735523376.883,13.184,12.695,25.879,-30.762,-87.402
1735523376.887,45.898,14.160,26.855,71.289,69.336
1735523376.891,62.500,13.672,33.203,101.074,181.641
1735523376.895,30.273,6.348,36.621,-11.230,-22.949
1735523376.899,12.207,9.766,34.668,-43.457,-135.742
1735523376.903,32.227,20.508,32.715,51.270,26.855
1735523376.907,49.805,20.020,33.203,122.559,183.105
1735523376.911,27.832,17.090,35.156,25.879,1.953
1735523376.915,8.789,17.090,30.273,-38.574,-144.531
1735523376.918,25.879,17.090,28.320,20.996,-42.969
1735523376.922,52.734,16.602,34.668,111.816,171.875
1735523376.926,37.598,15.137,36.621,55.176,132.324
1735523376.930,17.090,15.137,31.250,-37.109,-89.844
1735523376.934,18.555,14.160,26.367,-7.812,-85.449
