timestamps,TP9,AF7,AF8,TP10,Right AUX
1738874094.377,-57.617,-26.855,-24.902,-33.203,0.000
1738874094.381,-48.340,-36.621,-25.391,-41.016,0.000
1738874094.385,-43.457,-33.203,-25.391,-42.480,0.000
1738874094.389,-44.922,-25.391,-22.461,-12.207,0.000
1738874094.393,-33.691,-31.250,-22.461,-0.488,0.000
1738874094.397,-35.645,-34.668,-24.414,-22.461,0.000
1738874094.400,-51.758,-25.879,-29.785,-30.762,0.000
1738874094.404,-49.805,-20.020,-35.645,-32.227,0.000
1738874094.408,-46.875,-27.344,-31.738,-23.926,0.000
1738874094.412,-34.180,-31.250,-29.785,-18.066,0.000
1738874094.416,-26.367,-18.066,-30.762,-30.273,0.000
1738874094.420,-35.156,-22.461,-28.809,-34.668,0.000
1738874094.424,-41.504,-25.879,-26.367,-18.555,0.000
1738874094.428,-45.410,-22.461,-22.949,-24.414,0.000
1738874094.432,-42.969,-23.438,-27.832,-36.133,0.000
1738874094.436,-43.457,-27.344,-30.762,-30.273,0.000
1738874094.440,-45.410,-33.203,-29.785,-21.973,0.000
1738874094.443,-46.875,-30.273,-30.273,-16.602,0.000
1738874094.447,-44.434,-28.809,-23.438,-20.508,0.000
1738874094.451,-34.668,-29.785,-24.902,-24.902,0.000
1738874094.455,-32.715,-34.668,-33.203,-15.625,0.000
1738874094.459,-41.992,-24.902,-33.203,-11.230,0.000
1738874094.463,-44.922,-13.672,-29.785,-19.043,0.000
1738874094.467,-42.480,-16.113,-29.297,-23.438,0.000
1738874094.471,-39.551,-22.461,-27.344,-14.648,0.000
1738874094.475,-35.645,-25.391,-26.367,-16.602,0.000
1738874094.479,-39.062,-22.949,-24.902,-22.461,0.000
1738874094.482,-42.480,-26.855,-24.414,-24.902,0.000
1738874094.486,-36.621,-29.785,-23.438,-27.832,0.000
1738874094.490,-30.273,-25.391,-27.344,-20.996,0.000
1738874094.494,-20.508,-22.461,-28.809,-9.277,0.000
1738874094.498,-30.273,-30.273,-23.926,-13.184,0.000
1738874094.502,-42.969,-35.156,-26.367,-31.738,0.000
1738874094.506,-35.156,-25.879,-28.809,-38.574,0.000
1738874094.510,-25.391,-20.020,-22.949,-28.809,0.000
1738874094.514,-28.809,-20.996,-17.090,-3.418,0.000
1738874094.518,-35.645,-20.996,-16.113,-27.832,0.000
1738874094.522,-45.898,-18.066,-21.484,-46.875,0.000
1738874094.525,-39.551,-16.113,-22.461,-17.578,0.000
1738874094.529,-26.855,-20.996,-21.484,-18.066,0.000
1738874094.533,-34.180,-23.926,-24.414,-23.438,0.000
1738874094.537,-39.062,-22.949,-23.438,-14.648,0.000
1738874094.541,-32.227,-23.926,-21.973,-4.395,0.000
1738874094.545,-25.879,-24.414,-19.043,-5.371,0.000
1738874094.549,-30.273,-21.973,-20.996,-25.391,0.000
1738874094.553,-27.832,-22.949,-20.996,-33.203,0.000
1738874094.557,-27.344,-22.461,-15.625,-22.949,0.000
1738874094.561,-47.363,-22.949,-14.648,-32.715,0.000
1738874094.565,-54.199,-22.949,-14.160,-41.504,0.000
1738874094.568,-41.504,-21.973,-18.066,-32.227,0.000
1738874094.572,-51.758,-20.996,-18.066,-26.367,0.000
1738874094.576,-55.176,-20.508,-16.602,-35.156,0.000
1738874094.580,-48.340,-22.461,-19.043,-33.691,0.000
1738874094.584,-38.086,-22.461,-18.066,-28.320,0.000
1738874094.588,-51.270,-21.973,-18.555,-16.113,0.000
1738874094.592,-53.711,-16.602,-21.484,-25.879,0.000
1738874094.596,-47.852,-18.555,-20.020,-26.367,0.000
1738874094.600,-58.105,-23.926,-17.578,-26.367,0.000
1738874094.604,-36.133,-30.273,-18.555,-32.227,0.000
1738874094.607,-34.668,-26.855,-20.996,-15.137,0.000
1738874094.611,-46.387,-15.625,-22.949,-14.648,0.000
1738874094.615,-36.133,-22.461,-22.949,-10.742,0.000
1738874094.619,-45.898,-29.785,-24.902,-21.973,0.000
1738874094.623,-52.734,-25.391,-23.926,-39.551,0.000
1738874094.627,-47.852,-21.484,-20.508,-29.297,0.000
1738874094.631,-52.734,-22.461,-19.531,-30.273,0.000
1738874094.635,-31.250,-25.879,-22.949,-31.250,0.000
1738874094.639,-29.297,-22.461,-20.996,-24.902,0.000
1738874094.643,-44.922,-20.996,-21.973,-29.297,0.000
1738874094.647,-47.852,-30.273,-21.973,-36.133,0.000
1738874094.650,-48.340,-34.668,-20.020,-28.320,0.000
1738874094.654,-36.621,-21.484,-22.461,-24.902,0.000
1738874094.658,-29.297,-6.348,-20.508,-31.738,0.000
1738874094.662,-29.785,-10.254,-19.043,-18.066,0.000
1738874094.666,-34.180,-17.578,-21.484,-19.531,0.000
1738874094.670,-35.645,-19.043,-23.926,-20.508,0.000
1738874094.674,-39.062,-20.996,-23.926,-21.484,0.000
