timestamps,TP9,AF7,AF8,TP10,Right AUX
1734297495.156,20.996,23.926,27.344,24.902,74.219
1734297495.160,28.320,25.879,34.668,39.551,91.797
1734297495.164,35.156,25.879,39.551,31.738,80.566
1734297495.168,30.273,27.832,39.551,16.602,92.285
1734297495.172,24.902,31.738,41.016,33.691,65.430
1734297495.176,29.297,36.621,41.016,57.617,34.668
1734297495.180,24.414,40.527,38.574,35.156,-12.207
1734297495.183,24.902,36.621,39.551,9.766,35.156
1734297495.187,29.785,34.180,38.086,17.578,68.359
1734297495.191,27.344,36.133,37.598,26.855,-62.500
1734297495.195,19.531,38.086,37.109,13.184,-44.434
1734297495.199,27.832,35.645,36.133,19.043,71.777
1734297495.203,32.715,36.621,37.598,29.785,99.121
1734297495.207,21.484,37.109,36.133,26.367,63.477
1734297495.211,23.926,36.133,35.156,33.203,44.922
1734297495.215,20.020,36.133,41.504,26.367,50.293
1734297495.219,36.133,35.156,45.898,25.879,51.758
1734297495.223,40.039,33.691,44.434,36.621,76.172
1734297495.226,27.344,29.297,45.898,39.062,-34.668
1734297495.230,24.902,29.297,41.504,27.832,-125.488
1734297495.234,28.320,29.785,34.668,29.785,-2.930
1734297495.238,38.086,32.227,35.156,38.086,80.078
1734297495.242,21.973,31.250,29.785,23.926,102.051
1734297495.246,4.395,25.879,23.926,13.184,55.664
1734297495.250,13.672,25.391,19.043,4.883,42.480
1734297495.254,15.625,30.273,19.043,12.695,69.824
1734297495.258,11.230,32.227,22.461,25.391,65.918
1734297495.262,15.625,32.227,23.926,18.555,49.316
1734297495.265,16.602,32.715,21.973,5.371,-29.297
1734297495.269,28.320,32.715,22.949,16.602,-48.340
1734297495.273,34.180,31.250,24.902,36.133,7.324
1734297495.277,35.645,32.715,27.344,32.715,64.941
1734297495.281,11.230,36.133,32.715,29.297,54.199
1734297495.285,-7.812,35.645,35.156,16.602,-74.707
1734297495.289,7.812,36.621,34.668,14.648,-48.340
1734297495.293,17.578,35.156,36.133,27.832,63.477
1734297495.297,15.137,33.203,36.133,25.879,51.758
1734297495.301,8.789,35.645,33.203,11.719,-5.859
1734297495.305,14.160,33.203,29.297,16.113,5.371
1734297495.308,30.762,29.785,32.227,40.039,89.355
1734297495.312,27.344,29.785,35.156,39.062,58.105
1734297495.316,5.859,30.762,31.250,34.668,28.320
1734297495.320,13.184,36.133,33.203,25.391,-33.203
1734297495.324,20.996,39.551,35.645,20.020,-79.102
1734297495.328,13.184,36.621,39.551,23.438,4.883
1734297495.332,14.160,36.133,40.527,14.648,29.297
1734297495.336,29.297,37.598,38.086,29.297,73.730
1734297495.340,41.504,38.086,41.504,46.875,63.477
1734297495.344,21.973,37.598,42.969,38.574,28.320
1734297495.348,15.137,37.109,41.504,33.691,53.711
1734297495.351,30.762,37.598,39.551,41.016,56.641
1734297495.355,39.551,34.180,38.574,41.016,68.848
1734297495.359,44.922,29.297,38.086,44.434,68.359
1734297495.363,41.504,28.809,41.016,35.645,0.000
1734297495.367,24.414,30.762,43.457,18.555,-27.344
1734297495.371,19.531,27.832,40.527,37.109,58.594
1734297495.375,33.691,28.320,41.992,50.293,61.035
1734297495.379,24.902,30.762,47.852,38.574,-84.961
1734297495.383,27.832,29.297,42.480,30.762,-72.754
1734297495.387,37.598,28.809,38.574,35.156,60.059
1734297495.390,30.762,27.832,39.551,42.969,82.031
1734297495.394,30.762,27.832,38.086,50.293,29.297
1734297495.398,32.715,27.832,37.598,29.785,-5.371
1734297495.402,37.598,28.320,38.574,16.113,42.969
1734297495.406,43.945,29.297,35.645,32.227,83.984
1734297495.410,26.855,31.738,30.762,30.762,55.176
1734297495.414,5.859,36.621,36.133,24.414,-67.871
1734297495.418,17.090,35.156,40.039,31.738,-125.977
1734297495.422,31.250,31.250,37.109,38.086,29.297
1734297495.426,16.113,28.809,35.156,39.062,101.074
1734297495.430,7.324,30.762,34.180,30.762,53.223
1734297495.433,19.531,31.738,34.668,28.320,20.996
1734297495.437,28.320,29.297,34.668,35.645,34.668
1734297495.441,39.062,29.785,32.227,32.715,24.414
1734297495.445,34.180,30.273,29.297,34.180,29.297
1734297495.449,16.602,31.738,28.809,31.250,57.617
1734297495.453,30.273,29.297,24.902,23.926,48.828
1734297495.457,28.320,25.391,22.949,23.926,38.086
1734297495.461,21.973,27.344,25.391,26.855,7.324
1734297495.465,25.391,29.297,28.809,20.508,51.758
1734297495.469,32.715,30.273,33.203,20.996,75.684
1734297495.472,35.645,31.738,32.715,32.715,-42.969
