Valle_Timestamp,Valle_Value,Pico_Timestamp,Pico_Value,Distancia_Tiempo
2024-12-15 21:03:19.148000002,-156.738,2024-12-15 21:03:19.256999969,166.992,0.108999
2024-12-15 21:03:21.763999939,-187.5,2024-12-15 21:03:21.874000072,173.828,0.11
2024-12-15 21:03:24.513999938,-146.484,2024-12-15 21:03:24.607000113,161.133,0.093
2024-12-15 21:03:27.247999907,-230.957,2024-12-15 21:03:27.357000113,159.18,0.109
2024-12-15 21:03:30.013000011,-196.289,2024-12-15 21:03:30.138000011,154.297,0.125
2024-12-15 21:03:32.348000050,-148.926,2024-12-15 21:03:32.489000082,174.316,0.141
2024-12-15 21:03:34.628999949,-204.59,2024-12-15 21:03:34.737999916,182.617,0.108999
2024-12-15 21:03:36.894000053,-255.371,2024-12-15 21:03:37.003999949,170.41,0.109999
2024-12-15 21:03:38.894000053,-153.32,2024-12-15 21:03:39.019000053,174.805,0.125
