Index,timestamps,TP10
3,2024-12-15 21:03:19.308000088,178.711
6,2024-12-15 21:03:21.908999920,180.664
7,2024-12-15 21:03:24.622999907,173.34
11,2024-12-15 21:03:27.423000097,185.059
13,2024-12-15 21:03:30.187999964,187.5
18,2024-12-15 21:03:32.539000034,192.871
22,2024-12-15 21:03:34.753999949,192.871
30,2024-12-15 21:03:37.069999933,205.078
33,2024-12-15 21:03:39.035000086,181.641
