timestamps,TP9,AF7,AF8,TP10,Right AUX
1734296595.090,43.945,21.973,27.832,74.219,128.418
1734296595.094,32.715,20.508,28.320,71.289,160.156
1734296595.098,0.000,13.184,30.273,-19.531,-69.336
1734296595.102,-1.953,10.254,26.855,-35.156,-126.953
1734296595.106,31.738,15.625,22.461,56.641,125.977
1734296595.110,44.922,20.508,22.949,91.797,243.164
1734296595.114,7.812,24.902,25.391,-2.930,15.137
1734296595.118,-10.742,28.320,30.273,-51.758,-169.434
1734296595.122,30.273,31.250,34.668,39.062,24.902
1734296595.125,57.617,31.738,35.645,104.492,257.324
1734296595.129,22.949,21.973,30.762,29.785,111.328
1734296595.133,-5.859,16.113,26.855,-49.316,-144.043
1734296595.137,17.090,19.043,27.832,6.836,-54.199
1734296595.141,52.246,26.367,31.250,100.098,207.520
1734296595.145,38.574,24.414,34.668,62.988,158.691
1734296595.149,1.953,19.043,30.273,-34.668,-118.164
1734296595.153,8.789,24.902,25.391,-12.695,-146.973
1734296595.157,44.434,28.809,28.320,84.961,114.746
1734296595.161,41.016,29.297,31.738,88.379,205.078
1734296595.165,3.906,28.809,32.715,-14.648,-62.988
1734296595.168,-5.859,25.879,28.809,-48.828,-196.777
1734296595.172,31.738,27.832,24.414,48.340,38.574
1734296595.176,45.898,29.785,22.949,92.773,220.703
1734296595.180,12.695,23.926,24.414,-0.977,35.645
1734296595.184,-16.113,20.508,23.438,-69.824,-182.617
1734296595.188,10.254,24.414,21.973,5.371,-19.531
1734296595.192,46.387,23.926,26.367,85.449,207.031
1734296595.196,18.066,17.578,31.250,26.855,85.938
1734296595.200,-11.719,17.090,33.203,-46.875,-163.086
1734296595.204,14.648,26.855,34.668,1.465,-106.445
1734296595.207,49.316,30.762,32.227,89.355,176.270
1734296595.211,46.387,27.832,24.902,73.242,205.566
1734296595.215,13.672,27.832,24.414,-21.973,-46.875
1734296595.219,19.043,28.320,24.902,-21.484,-115.234
1734296595.223,54.199,30.273,22.461,69.824,123.047
1734296595.227,48.340,29.785,23.438,81.543,238.281
1734296595.231,15.625,24.414,30.273,-3.418,-15.625
1734296595.235,0.488,24.902,30.762,-42.480,-176.270
1734296595.239,29.785,26.367,27.832,44.434,38.086
1734296595.243,54.688,24.902,27.344,98.633,187.988
1734296595.247,24.902,29.785,27.344,22.461,47.363
1734296595.250,6.836,35.645,31.250,-42.969,-145.996
1734296595.254,34.180,28.809,29.785,26.367,-29.785
1734296595.258,60.547,25.391,26.367,106.934,221.680
1734296595.262,41.016,26.367,30.273,52.734,126.953
1734296595.266,3.418,22.949,32.227,-33.691,-132.812
1734296595.270,14.160,27.344,30.762,-3.418,-87.891
1734296595.274,54.199,35.156,28.320,96.191,172.363
1734296595.278,45.898,34.668,26.367,83.496,212.891
1734296595.282,4.395,32.715,26.367,-15.137,-62.012
1734296595.286,6.836,33.691,30.273,-19.043,-169.922
1734296595.289,40.527,34.180,28.809,74.219,107.910
1734296595.293,47.852,32.227,25.391,104.980,241.211
1734296595.297,10.742,27.832,27.344,7.324,-11.719
1734296595.301,-12.695,24.414,28.809,-52.734,-184.570
1734296595.305,19.043,27.344,25.879,36.133,23.926
1734296595.309,42.969,32.227,24.414,101.074,231.445
1734296595.313,10.742,29.297,26.367,28.809,71.777
1734296595.317,-12.695,25.879,23.926,-49.316,-173.340
1734296595.321,12.207,26.855,23.438,13.672,-52.734
1734296595.325,43.945,27.832,22.461,102.539,223.145
1734296595.329,30.273,27.832,25.391,58.105,173.828
1734296595.332,-7.324,28.809,34.180,-31.738,-122.070
1734296595.336,3.906,31.738,29.297,-19.043,-114.258
1734296595.340,41.016,32.715,24.414,71.777,166.016
1734296595.344,39.551,31.738,31.738,77.637,206.055
1734296595.348,-0.977,29.297,36.133,-20.508,-59.082
1734296595.352,-7.324,25.879,28.320,-45.898,-166.992
1734296595.356,29.785,28.809,20.020,46.387,92.285
1734296595.360,45.410,29.785,20.508,94.238,250.977
1734296595.364,14.160,23.926,21.484,7.324,32.715
1734296595.368,-8.789,22.461,22.461,-57.617,-167.480
1734296595.371,21.973,24.414,21.973,23.926,12.695
1734296595.375,48.828,26.367,20.508,96.680,246.094
1734296595.379,24.902,26.367,23.438,27.832,86.426
1734296595.383,-5.859,26.367,24.902,-48.828,-181.152
1734296595.387,11.230,30.273,26.367,7.324,-83.496
1734296595.391,42.969,31.250,26.855,91.309,184.082
1734296595.395,29.297,32.715,25.391,51.270,149.414
1734296595.399,0.977,34.180,24.414,-44.434,-103.516
1734296595.403,20.508,36.133,22.461,-31.738,-120.605
1734296595.407,55.664,41.016,20.508,62.500,136.719
1734296595.411,47.363,40.527,25.879,75.684,212.402
1734296595.414,4.883,35.645,33.203,-19.531,-34.180
1734296595.418,-9.766,35.645,29.785,-55.176,-163.086
1734296595.422,25.391,37.598,26.367,43.457,82.031
1734296595.426,33.203,29.785,27.344,100.586,244.141
1734296595.430,-3.906,20.508,26.367,19.531,38.086
1734296595.434,-23.926,24.902,24.414,-54.199,-138.672
1734296595.438,10.742,34.668,24.414,15.137,7.812
1734296595.442,46.387,35.156,25.879,97.168,217.773
1734296595.446,24.902,36.133,29.785,42.480,78.125
1734296595.450,-4.395,41.992,30.762,-43.945,-170.410
1734296595.454,15.625,40.039,34.668,-5.371,-91.309
1734296595.457,50.781,35.645,36.621,82.520,160.645
1734296595.461,41.992,35.645,29.297,64.941,146.484
1734296595.465,9.766,33.203,25.879,-25.879,-111.816
1734296595.469,12.207,36.621,25.879,-32.715,-127.441
1734296595.473,48.340,36.621,28.809,64.453,142.090
1734296595.477,52.246,30.762,26.855,85.449,221.191
1734296595.481,11.230,30.762,24.414,-9.766,-17.578
1734296595.485,-1.465,31.250,25.391,-52.734,-182.617
1734296595.489,38.086,32.227,22.949,40.039,49.805
1734296595.493,63.477,33.691,27.344,103.516,260.742
1734296595.496,32.227,34.180,33.203,19.043,62.988
1734296595.500,3.418,34.180,35.156,-53.711,-192.383
1734296595.504,22.949,32.715,29.785,9.766,-59.570
1734296595.508,54.688,20.996,33.203,101.074,241.211
1734296595.512,54.199,18.066,42.480,72.266,148.926
1734296595.516,8.789,34.668,37.109,-33.691,-129.883
1734296595.520,-1.465,41.016,30.273,-30.273,-97.656
1734296595.524,43.457,38.086,27.344,70.312,151.855
1734296595.528,45.410,47.363,20.020,65.918,162.109
1734296595.532,8.301,61.523,15.625,-44.922,-93.750
1734296595.535,6.836,66.406,16.113,-54.199,-171.387
1734296595.539,38.574,74.219,11.230,36.133,69.336
1734296595.543,48.340,76.172,8.789,61.523,211.914
1734296595.547,7.324,78.125,5.371,-23.438,4.883
1734296595.551,-11.719,84.473,-3.906,-83.984,-172.363
1734296595.555,31.738,88.867,-12.207,3.418,16.113
1734296595.559,54.688,95.703,-13.672,67.871,240.723
1734296595.563,28.320,99.121,-18.555,-6.348,94.238
1734296595.567,5.859,99.121,-24.902,-78.613,-164.551
1734296595.571,28.320,102.539,-22.461,-21.973,-63.965
1734296595.575,65.918,104.980,-24.902,70.801,200.195
1734296595.578,46.875,105.957,-33.203,26.855,144.043
1734296595.582,9.766,109.375,-35.645,-68.359,-110.352
1734296595.586,34.668,108.398,-32.715,-34.180,-108.887
1734296595.590,73.730,103.516,-33.203,59.082,140.137
1734296595.594,68.359,99.609,-32.227,56.152,213.867
1734296595.598,31.250,98.633,-26.367,-35.156,-23.438
1734296595.602,27.832,93.262,-19.043,-52.734,-145.996
1734296595.606,66.895,85.938,-13.184,43.945,96.191
1734296595.610,81.055,83.984,-9.277,89.355,267.090
