timestamps,TP9,AF7,AF8,TP10,Right AUX
1738883905.932,-47.363,-54.688,-35.645,-35.645,0.000
1738883905.936,-43.945,-47.363,-36.133,-23.926,0.000
1738883905.940,-46.875,-39.062,-41.016,-6.836,0.000
1738883905.944,-43.945,-39.551,-46.875,-20.508,0.000
1738883905.948,-35.645,-44.434,-42.969,-27.344,0.000
1738883905.952,-31.738,-50.293,-34.668,-11.230,0.000
1738883905.955,-31.250,-52.734,-32.715,-6.348,0.000
1738883905.959,-28.809,-44.434,-28.809,-16.113,0.000
1738883905.963,-28.809,-40.527,-27.832,-29.297,0.000
1738883905.967,-23.438,-43.457,-33.691,-29.785,0.000
1738883905.971,-15.137,-50.293,-38.086,-24.902,0.000
1738883905.975,-19.043,-51.758,-34.668,-25.391,0.000
1738883905.979,-22.461,-44.922,-35.156,-29.297,0.000
1738883905.983,-27.344,-45.410,-42.969,-40.039,0.000
1738883905.987,-25.879,-51.758,-48.828,-33.203,0.000
1738883905.991,-25.879,-42.480,-45.410,-28.809,0.000
1738883905.994,-41.992,-40.039,-39.551,-36.133,0.000
1738883905.998,-42.480,-46.387,-41.992,-32.715,0.000
1738883906.002,-30.762,-51.270,-46.387,-28.320,0.000
1738883906.006,-37.109,-51.270,-45.898,-26.855,0.000
1738883906.010,-39.551,-48.828,-47.363,-24.414,0.000
1738883906.014,-39.062,-52.246,-51.758,-33.203,0.000
1738883906.018,-42.969,-60.547,-51.758,-33.203,0.000
1738883906.022,-33.203,-61.035,-49.805,-28.320,0.000
1738883906.026,-23.926,-55.664,-45.898,-32.227,0.000
1738883906.030,-20.996,-55.176,-35.156,-27.832,0.000
1738883906.034,-29.297,-62.012,-26.367,-21.973,0.000
1738883906.037,-35.645,-64.453,-24.902,-13.672,0.000
1738883906.041,-33.203,-63.965,-24.902,-11.230,0.000
1738883906.045,-34.668,-69.336,-23.926,-14.160,0.000
1738883906.049,-42.969,-71.289,-23.438,-14.648,0.000
1738883906.053,-45.898,-67.383,-27.832,-14.160,0.000
1738883906.057,-45.898,-72.754,-33.203,-8.789,0.000
1738883906.061,-46.875,-80.078,-38.574,-12.207,0.000
1738883906.065,-48.828,-86.914,-37.109,-23.438,0.000
1738883906.069,-36.621,-81.055,-22.949,-6.348,0.000
1738883906.073,-26.367,-84.961,-20.996,11.230,0.000
1738883906.076,-27.832,-92.773,-30.273,11.719,0.000
1738883906.080,-21.973,-82.520,-32.715,-1.953,0.000
1738883906.084,-17.578,-77.637,-34.668,-9.766,0.000
1738883906.088,-15.137,-77.637,-27.344,2.930,0.000
1738883906.092,-16.602,-82.031,-22.949,-1.465,0.000
1738883906.096,-21.484,-84.961,-26.367,-8.301,0.000
1738883906.100,-19.531,-83.008,-22.949,1.465,0.000
1738883906.104,-21.973,-81.543,-21.484,6.836,0.000
1738883906.108,-30.762,-82.520,-29.297,-11.230,0.000
1738883906.112,-40.527,-81.543,-33.691,-28.809,0.000
1738883906.116,-45.898,-80.078,-35.645,-42.969,0.000
1738883906.119,-38.574,-73.242,-32.227,-26.367,0.000
1738883906.123,-42.969,-71.777,-31.738,-5.371,0.000
1738883906.127,-50.781,-79.590,-38.574,-11.719,0.000
1738883906.131,-47.852,-72.754,-29.785,-17.090,0.000
1738883906.135,-41.504,-61.523,-21.973,-16.113,0.000
1738883906.139,-40.527,-56.641,-24.414,-7.812,0.000
1738883906.143,-48.828,-55.664,-26.855,-9.766,0.000
1738883906.147,-49.805,-54.199,-32.227,-14.160,0.000
1738883906.151,-45.898,-56.152,-28.809,-12.207,0.000
1738883906.155,-42.969,-62.012,-20.996,-8.301,0.000
1738883906.159,-42.969,-60.547,-16.113,-15.625,0.000
1738883906.162,-47.363,-58.105,-15.625,-23.438,0.000
1738883906.166,-43.457,-56.152,-20.020,-20.996,0.000
1738883906.170,-35.156,-58.594,-15.137,6.836,0.000
1738883906.174,-9.277,-58.594,-17.090,38.574,0.000
1738883906.178,-14.648,-41.016,-35.645,2.441,0.000
1738883906.182,-43.457,-28.809,-41.992,-38.574,0.000
1738883906.186,-40.527,-33.203,-37.598,-36.133,0.000
1738883906.190,-30.273,-36.621,-34.180,-22.949,0.000
1738883906.194,-35.645,-26.367,-40.039,-34.180,0.000
1738883906.198,-47.363,-21.484,-50.781,-55.176,0.000
1738883906.201,-38.574,-15.625,-46.875,-38.086,0.000
1738883906.205,-33.203,-11.719,-44.922,-21.973,0.000
1738883906.209,-46.387,-16.113,-43.457,-24.902,0.000
1738883906.213,-43.945,-16.602,-34.180,-27.344,0.000
1738883906.217,-37.598,-16.113,-35.156,-20.020,0.000
1738883906.221,-38.086,-20.508,-36.621,-12.695,0.000
1738883906.225,-37.598,-20.996,-36.133,-19.531,0.000
1738883906.229,-37.598,-20.996,-42.969,-30.762,0.000
1738883906.233,-41.992,-24.414,-50.293,-37.598,0.000
1738883906.237,-39.062,-22.949,-46.875,-23.438,0.000
1738883906.241,-41.016,-25.879,-44.922,-20.996,0.000
1738883906.244,-42.480,-15.625,-41.504,-31.250,0.000
1738883906.248,-42.969,-2.930,-30.762,-23.438,0.000
1738883906.252,-41.504,-11.230,-32.227,-9.766,0.000
1738883906.256,-34.180,-15.137,-36.133,-2.441,0.000
1738883906.260,-35.156,-12.207,-30.273,-17.578,0.000
1738883906.264,-22.949,-11.230,-29.297,-26.367,0.000
1738883906.268,-15.137,-12.207,-31.738,0.000,0.000
1738883906.272,-20.508,-18.066,-34.180,2.930,0.000
1738883906.276,-20.996,-22.461,-37.598,-17.578,0.000
1738883906.280,-26.855,-16.113,-34.668,-21.484,0.000
1738883906.284,-26.367,-10.742,-32.227,-21.973,0.000
1738883906.287,-21.484,-11.719,-31.250,-9.766,0.000
1738883906.291,-20.996,-11.230,-33.203,-7.324,0.000
1738883906.295,-22.461,-12.695,-34.180,-22.461,0.000
1738883906.299,-19.531,-9.277,-39.551,-29.785,0.000
1738883906.303,-12.695,-1.953,-43.945,-20.508,0.000
1738883906.307,-21.484,-3.906,-36.133,-10.254,0.000
1738883906.311,-31.738,-8.789,-35.645,-7.324,0.000
1738883906.315,-34.668,-13.184,-43.945,-11.719,0.000
1738883906.319,-35.156,-13.184,-37.598,-12.695,0.000
1738883906.323,-29.297,-10.742,-34.668,-8.301,0.000
1738883906.326,-29.297,-5.859,-37.598,-7.324,0.000
1738883906.330,-30.762,-9.277,-42.480,-41.992,0.000
1738883906.334,-26.367,-19.531,-45.410,-43.457,0.000
1738883906.338,-23.926,-18.555,-41.504,-11.719,0.000
1738883906.342,-25.391,-16.602,-38.574,-17.578,0.000
1738883906.346,-26.855,-17.090,-34.668,-45.898,0.000
1738883906.350,-28.809,-19.531,-35.645,-36.133,0.000
1738883906.354,-31.250,-26.855,-39.062,-8.789,0.000
1738883906.358,-36.133,-18.066,-36.133,-9.766,0.000
1738883906.362,-30.273,-9.277,-38.574,-14.160,0.000
1738883906.366,-20.020,-10.254,-41.992,-28.809,0.000
1738883906.369,-17.090,-12.695,-38.086,-19.531,0.000
1738883906.373,-16.113,-17.578,-37.109,-5.859,0.000
1738883906.377,-15.625,-15.625,-31.250,-14.160,0.000
1738883906.381,-23.926,-15.137,-30.762,-40.527,0.000
1738883906.385,-21.973,-11.230,-40.527,-37.109,0.000
1738883906.389,-23.926,-16.113,-38.574,-9.766,0.000
1738883906.393,-35.645,-23.926,-33.203,-24.414,0.000
1738883906.397,-34.180,-20.020,-32.715,-47.363,0.000
1738883906.401,-24.414,-14.648,-43.945,-35.156,0.000
1738883906.405,2.930,-9.766,-56.641,-5.859,0.000
1738883906.408,-21.484,-19.043,-41.504,-22.461,0.000
1738883906.412,-49.805,-28.809,-22.461,-43.457,0.000
1738883906.416,-37.598,-28.809,-30.273,-32.715,0.000
1738883906.420,-21.973,-33.203,-42.480,-23.438,0.000
1738883906.424,-28.320,-38.086,-43.945,-36.621,0.000
1738883906.428,-38.086,-35.645,-49.805,-45.898,0.000
1738883906.432,-31.250,-31.250,-48.828,-31.738,0.000
1738883906.436,-20.996,-30.273,-43.457,-14.648,0.000
1738883906.440,-14.160,-28.809,-40.039,1.953,0.000
1738883906.444,-23.438,-28.320,-41.016,-3.906,0.000
1738883906.448,-25.391,-21.973,-43.945,-21.973,0.000
1738883906.451,-22.949,-20.508,-43.457,-25.879,0.000
1738883906.455,-29.297,-22.461,-32.715,-18.555,0.000
1738883906.459,-28.809,-16.602,-27.344,-27.344,0.000
1738883906.463,-33.203,-22.949,-26.855,-33.203,0.000
1738883906.467,-23.438,-20.996,-26.367,-14.648,0.000
1738883906.471,-10.254,-14.160,-29.297,-4.395,0.000
1738883906.475,-17.578,-13.672,-31.250,-1.465,0.000
1738883906.479,-24.414,-12.207,-27.832,-14.648,0.000
1738883906.483,-21.973,-13.672,-22.949,-23.438,0.000
1738883906.487,-17.090,-13.184,-22.461,0.488,0.000
1738883906.491,-27.344,-11.230,-24.414,7.324,0.000
1738883906.494,-27.344,-8.789,-22.949,9.766,0.000
1738883906.498,-24.414,-7.324,-22.949,-2.441,0.000
1738883906.502,-36.133,-15.625,-28.320,-11.230,0.000
1738883906.506,-30.762,-20.508,-35.645,-1.953,0.000
1738883906.510,-24.902,-15.137,-35.156,-12.695,0.000
