timestamps,TP9,AF7,AF8,TP10,Right AUX
1738881649.976,-39.551,-52.246,-41.992,-10.254,0.000
1738881649.980,-20.996,-50.781,-41.992,-6.836,0.000
1738881649.984,-20.996,-54.688,-40.039,0.488,0.000
1738881649.988,-34.180,-53.711,-39.551,-7.324,0.000
1738881649.992,-25.879,-44.434,-32.715,3.906,0.000
1738881649.996,-2.930,-40.039,-31.738,8.789,0.000
1738881650.000,-18.555,-48.340,-36.621,-4.883,0.000
1738881650.004,-33.691,-46.387,-34.668,-23.438,0.000
1738881650.008,-35.156,-48.828,-36.621,-30.273,0.000
1738881650.012,-38.574,-53.223,-47.852,-13.184,0.000
1738881650.015,-41.992,-52.246,-49.316,-25.879,0.000
1738881650.019,-40.527,-57.129,-47.852,-37.598,0.000
1738881650.023,-24.414,-58.105,-45.898,-31.250,0.000
1738881650.027,-22.949,-55.664,-39.551,-25.391,0.000
1738881650.031,-21.973,-52.734,-39.062,-5.371,0.000
1738881650.035,-26.855,-53.711,-41.504,-15.625,0.000
1738881650.039,-20.996,-52.734,-37.109,-22.949,0.000
1738881650.043,-29.297,-51.758,-39.062,-20.508,0.000
1738881650.047,-32.227,-51.758,-41.016,-32.227,0.000
1738881650.051,-25.391,-48.340,-38.086,-28.320,0.000
1738881650.055,-27.832,-48.828,-37.598,-18.555,0.000
1738881650.058,-9.277,-50.781,-42.969,-3.418,0.000
1738881650.062,4.883,-47.363,-45.898,10.742,0.000
1738881650.066,-21.973,-47.852,-39.551,-14.648,0.000
1738881650.070,-43.945,-52.246,-37.109,-34.668,0.000
1738881650.074,-37.109,-53.223,-36.133,-23.926,0.000
1738881650.078,-26.367,-58.105,-30.762,-29.297,0.000
1738881650.082,-30.273,-67.383,-29.297,-25.391,0.000
1738881650.086,-32.227,-67.383,-34.180,-17.578,0.000
1738881650.090,-28.809,-68.848,-39.551,-23.926,0.000
1738881650.094,-28.320,-67.871,-39.551,-24.414,0.000
1738881650.097,-26.855,-61.523,-38.086,-27.832,0.000
1738881650.101,-22.461,-57.617,-40.527,-20.996,0.000
1738881650.105,-22.461,-54.688,-37.109,-16.113,0.000
1738881650.109,-30.273,-58.105,-31.250,-11.230,0.000
1738881650.113,-39.062,-60.059,-27.832,-13.672,0.000
1738881650.117,-35.645,-59.082,-28.809,-17.578,0.000
1738881650.121,-29.297,-60.059,-31.738,-11.719,0.000
1738881650.125,-31.738,-57.617,-32.227,-11.719,0.000
1738881650.129,-36.133,-57.617,-41.504,-16.602,0.000
1738881650.133,-37.109,-62.500,-48.828,-27.344,0.000
1738881650.137,-32.227,-62.988,-42.969,-23.926,0.000
1738881650.140,-31.250,-62.500,-38.574,-26.367,0.000
1738881650.144,-30.273,-59.570,-36.621,-20.020,0.000
1738881650.148,-39.551,-54.688,-42.480,-23.438,0.000
1738881650.152,-35.156,-53.711,-41.016,-38.574,0.000
1738881650.156,-23.926,-54.199,-33.691,-24.414,0.000
1738881650.160,-24.414,-50.781,-35.156,-5.859,0.000
1738881650.164,-11.230,-56.152,-40.039,-11.719,0.000
1738881650.168,-24.902,-58.594,-43.945,-26.855,0.000
1738881650.172,-28.809,-53.223,-40.039,-26.855,0.000
1738881650.176,4.395,-50.293,-39.062,-8.301,0.000
1738881650.180,-3.906,-50.293,-41.504,-13.672,0.000
1738881650.183,-33.203,-58.105,-45.410,-30.762,0.000
1738881650.187,-22.461,-65.918,-49.316,-38.086,0.000
1738881650.191,-11.230,-64.453,-46.875,-37.109,0.000
1738881650.195,-14.160,-63.477,-35.645,-23.926,0.000
1738881650.199,-14.648,-57.617,-33.691,-14.160,0.000
1738881650.203,-21.484,-55.176,-38.574,-25.391,0.000
1738881650.207,-26.367,-55.176,-38.574,-21.484,0.000
1738881650.211,-36.133,-55.664,-39.062,-10.742,0.000
1738881650.215,-41.016,-61.523,-38.086,-18.066,0.000
1738881650.219,-37.109,-60.547,-36.621,-25.391,0.000
1738881650.222,-30.762,-62.988,-45.898,-19.043,0.000
1738881650.226,-31.738,-74.219,-55.664,-10.742,0.000
1738881650.230,-38.086,-82.031,-57.617,-12.695,0.000
1738881650.234,-33.203,-74.707,-52.246,-17.090,0.000
1738881650.238,-35.156,-69.824,-50.781,-22.461,0.000
1738881650.242,-22.949,-67.383,-45.898,-8.789,0.000
1738881650.246,-9.277,-58.594,-37.109,-10.254,0.000
1738881650.250,-27.344,-61.523,-35.156,-22.461,0.000
1738881650.254,-19.531,-55.664,-32.227,-11.719,0.000
1738881650.258,-9.277,-48.340,-30.762,-11.719,0.000
1738881650.262,-18.555,-53.711,-35.156,-18.066,0.000
1738881650.265,-16.113,-56.641,-39.062,-11.719,0.000
1738881650.269,-21.484,-57.617,-39.062,-15.137,0.000
1738881650.273,-19.043,-53.711,-35.156,-12.695,0.000
1738881650.277,-13.672,-50.781,-30.762,0.488,0.000
1738881650.281,-12.695,-52.246,-30.762,5.371,0.000
1738881650.285,-22.461,-55.176,-35.645,-4.883,0.000
1738881650.289,-40.039,-56.152,-32.715,-7.812,0.000
1738881650.293,-30.762,-54.199,-29.785,-0.977,0.000
1738881650.297,-11.230,-50.293,-28.320,4.883,0.000
1738881650.301,-6.348,-41.504,-27.344,9.766,0.000
1738881650.305,-16.113,-42.480,-31.738,0.000,0.000
1738881650.308,-13.672,-42.480,-27.832,15.137,0.000
1738881650.312,-11.719,-39.551,-24.902,23.926,0.000
1738881650.316,-20.020,-43.945,-24.414,13.184,0.000
1738881650.320,-18.555,-37.109,-21.973,2.930,0.000
1738881650.324,-10.254,-31.250,-22.461,7.812,0.000
1738881650.328,-1.465,-40.039,-29.785,4.395,0.000
1738881650.332,-12.695,-41.504,-35.156,-15.137,0.000
1738881650.336,-23.438,-35.156,-33.203,-30.273,0.000
1738881650.340,-22.949,-41.016,-34.180,-17.578,0.000
1738881650.344,-34.668,-45.898,-39.062,-8.789,0.000
1738881650.347,-27.344,-42.969,-36.621,-17.578,0.000
1738881650.351,-13.672,-41.016,-32.715,-20.996,0.000
1738881650.355,-11.230,-36.621,-29.785,-26.367,0.000
1738881650.359,-3.906,-37.109,-25.391,-5.859,0.000
1738881650.363,-20.508,-41.016,-31.250,0.977,0.000
1738881650.367,-28.320,-40.527,-32.227,-3.906,0.000
1738881650.371,-21.973,-41.504,-32.227,-12.207,0.000
1738881650.375,-18.555,-41.992,-31.250,-5.859,0.000
1738881650.379,9.766,-49.805,-26.367,29.785,0.000
1738881650.383,-5.371,-47.363,-33.691,6.836,0.000
1738881650.387,-58.105,-34.668,-45.898,-42.969,0.000
1738881650.390,-37.598,-30.273,-47.852,-35.156,0.000
1738881650.394,-13.672,-32.715,-43.457,-19.043,0.000
1738881650.398,-28.809,-33.203,-43.945,-16.113,0.000
1738881650.402,-17.578,-35.156,-47.363,-19.043,0.000
1738881650.406,3.906,-44.434,-45.898,-36.133,0.000
1738881650.410,-0.488,-43.457,-40.039,-39.551,0.000
1738881650.414,-5.371,-38.574,-35.645,-25.879,0.000
1738881650.418,0.488,-35.645,-32.715,-13.672,0.000
1738881650.422,-6.836,-29.785,-30.273,-2.930,0.000
1738881650.426,-15.137,-31.250,-36.621,-3.418,0.000
1738881650.430,-11.719,-33.691,-39.062,-7.812,0.000
1738881650.433,-15.137,-32.227,-37.598,-19.531,0.000
1738881650.437,-12.695,-32.715,-41.992,-21.973,0.000
1738881650.441,-12.695,-38.574,-45.898,-10.254,0.000
1738881650.445,-26.855,-43.945,-46.387,-6.836,0.000
1738881650.449,-28.809,-41.992,-44.434,-1.465,0.000
1738881650.453,-11.230,-38.086,-39.062,2.930,0.000
1738881650.457,2.930,-38.086,-38.086,-7.812,0.000
1738881650.461,-9.766,-45.898,-45.410,-10.742,0.000
1738881650.465,-35.156,-50.293,-48.340,-8.301,0.000
1738881650.469,-41.016,-45.898,-41.504,-25.879,0.000
1738881650.472,-27.832,-43.457,-41.016,-22.949,0.000
1738881650.476,-22.461,-42.480,-40.527,-13.184,0.000
1738881650.480,-27.344,-45.898,-41.504,-15.137,0.000
1738881650.484,-29.297,-49.316,-44.922,-8.301,0.000
1738881650.488,-22.949,-43.945,-42.480,-19.043,0.000
1738881650.492,-22.949,-43.945,-40.039,-15.625,0.000
1738881650.496,-30.273,-42.480,-36.621,-13.672,0.000
1738881650.500,-35.156,-41.504,-42.480,-30.273,0.000
1738881650.504,-21.484,-45.410,-44.922,-28.320,0.000
1738881650.508,-8.301,-42.969,-38.574,-24.902,0.000
1738881650.512,-16.602,-44.922,-43.945,-24.902,0.000
1738881650.515,-23.438,-48.340,-50.781,-24.902,0.000
1738881650.519,-25.879,-47.363,-43.945,-34.668,0.000
1738881650.523,-7.324,-40.039,-34.668,-16.113,0.000
1738881650.527,-4.883,-37.109,-29.297,0.977,0.000
1738881650.531,-25.391,-42.969,-29.297,0.000,0.000
1738881650.535,-29.785,-46.387,-26.855,-5.371,0.000
1738881650.539,-39.062,-46.387,-21.973,-2.441,0.000
1738881650.543,-46.387,-51.758,-33.203,-1.465,0.000
1738881650.547,-37.109,-52.734,-37.109,1.953,0.000
1738881650.551,-35.156,-49.805,-36.133,-7.812,0.000
1738881650.554,-37.598,-55.664,-37.109,-21.973,0.000
1738881650.558,-15.625,-52.246,-35.156,-6.348,0.000
1738881650.562,-6.836,-42.480,-36.621,5.859,0.000
1738881650.566,-12.695,-39.062,-37.109,-1.465,0.000
1738881650.570,-18.066,-36.133,-33.691,-7.812,0.000
1738881650.574,-13.672,-39.551,-35.645,-6.836,0.000
1738881650.578,-10.254,-44.434,-38.574,-8.301,0.000
1738881650.582,-23.438,-45.898,-37.598,-11.719,0.000
1738881650.586,-9.277,-43.457,-35.645,-6.348,0.000
1738881650.590,-1.465,-41.504,-32.227,0.488,0.000
1738881650.594,-12.207,-41.992,-29.297,9.766,0.000
1738881650.597,-3.418,-44.922,-35.156,13.672,0.000
1738881650.601,-3.906,-46.387,-45.410,-18.555,0.000
1738881650.605,-21.484,-48.340,-42.969,-19.531,0.000
1738881650.609,-11.230,-44.922,-34.668,7.812,0.000
1738881650.613,-3.418,-45.410,-32.715,-1.953,0.000
1738881650.617,-14.160,-49.316,-32.715,-12.695,0.000
1738881650.621,-6.836,-47.852,-38.086,-20.508,0.000
1738881650.625,-18.555,-48.340,-43.945,-24.902,0.000
1738881650.629,-21.484,-53.223,-40.527,-5.859,0.000
1738881650.633,-18.066,-54.199,-39.551,3.906,0.000
1738881650.637,-16.113,-44.922,-40.527,-15.625,0.000
1738881650.640,-9.766,-41.016,-39.062,-17.578,0.000
1738881650.644,-16.113,-48.340,-39.551,-10.254,0.000
1738881650.648,-17.090,-47.363,-29.785,-14.160,0.000
1738881650.652,-24.414,-44.922,-25.391,-18.066,0.000
1738881650.656,-11.230,-51.270,-38.086,-17.578,0.000
1738881650.660,-0.977,-46.387,-42.969,-16.602,0.000
1738881650.664,-38.574,-51.270,-45.410,-21.973,0.000
1738881650.668,-46.387,-58.105,-45.898,-19.043,0.000
1738881650.672,-32.715,-50.293,-37.598,-23.926,0.000
1738881650.676,-34.668,-40.039,-26.855,-21.973,0.000
1738881650.679,-45.410,-36.133,-32.715,-10.254,0.000
1738881650.683,-35.156,-42.480,-40.039,-14.160,0.000
1738881650.687,-15.625,-48.340,-41.992,-15.625,0.000
1738881650.691,0.977,-41.992,-47.852,-20.020,0.000
1738881650.695,11.230,-30.273,-44.434,-2.930,0.000
1738881650.699,-13.672,-37.109,-32.715,-7.812,0.000
1738881650.703,-33.691,-46.875,-25.879,-29.297,0.000
1738881650.707,-21.973,-44.434,-24.414,-20.996,0.000
1738881650.711,-18.066,-39.551,-18.555,-4.883,0.000
1738881650.715,-21.484,-40.527,-15.625,-9.277,0.000
1738881650.719,-4.883,-44.434,-17.090,-12.207,0.000
1738881650.722,-4.883,-45.410,-19.531,-13.672,0.000
1738881650.726,-14.160,-47.363,-17.578,-10.254,0.000
1738881650.730,-7.324,-51.270,-12.695,-5.371,0.000
1738881650.734,1.465,-51.758,-16.113,-0.977,0.000
1738881650.738,-9.766,-52.246,-21.484,-4.883,0.000
1738881650.742,-26.855,-50.781,-23.438,-3.906,0.000
1738881650.746,-30.273,-46.875,-23.438,-2.441,0.000
1738881650.750,-34.180,-46.387,-28.809,-18.066,0.000
1738881650.754,-41.992,-48.340,-24.902,-25.391,0.000
1738881650.758,-22.949,-48.828,-19.531,-11.719,0.000
